Column1	Column2	Column3	Column4	Column5	Column6
O que é um anfíbio?	Um grupo de animais com fase larval aquática e a fase adulta terrestre	Um grupo de animais que inclui aves e mamíferos	Um grupo de animais que inclui répteis e aves	Um grupo de animais que inclui peixes e tubarões	1
O que é a camuflagem?	Um mecanismo de defesa que torna um animal menos visível para predadores ou presas	Um tipo de alimentação de animais herbívoros	Um tipo de reprodução assexuada	Um mecanismo de comunicação entre animais	1
Qual é o maior oceano do mundo?	Oceano Atlântico	Oceano Pacífico	Oceano Índico	Oceano Ártico	2
Qual é o ponto mais alto da Terra?	Monte Everest	Monte Kilimanjaro	Monte Fuji	Montanha do Pico	1
Qual é o rio mais longo do mundo?	Rio Amazonas	Rio Nilo	Rio Yangtzé	Rio Mississippi	2
Qual é o maior deserto do mundo?	Deserto de Atacama	Deserto de Gobi	Deserto do Saara	Deserto de Kalahari	3
Qual é o país mais populoso do mundo?	China	Índia	Estados Unidos	Brasil	2
Qual é o maior país da América do Sul em área territorial?	Argentina	Brasil	Colômbia	Peru	2
Em que continente está localizado o Egito?	África	Ásia	Europa	América	1
Em que continente está localizada a Índia?	Europa	África	Ásia	América do Sul	3
Qual é o maior planeta do sistema solar?	Marte	Júpiter	Vénus	Saturno	2
Qual é a fórmula química da água?	CO2	H2O	O2	C2H5OH	2
Qual é o processo de conversão de luz solar em energia química por plantas?	Fotossíntese	Respiração celular	Digestão	Transpiração	1
A camada de ozono protege a Terra de qual tipo de radiação solar?	Infravermelhos	Visível	Ultravioleta B	Micro-ondas	3
Qual é o maior oceano na Terra?	Atlântico	Índico	Ártico	Pacífico	4
Qual é o principal gás responsável pelo efeito estufa?	Dióxido de enxofre	Óxido nitroso	Dióxido de carbono	Metano	3
Qual é o processo pelo qual as plantas convertem a luz solar em energia?	Fotossíntese	Quimiossíntese	Respiração	Digestão	1
Qual é o maior órgão do corpo humano?	Coração	Fígado	Pele	Estômago	3
Qual é a camada mais externa da Terra?	Manto	Núcleo	Crosta	Astenosfera	3
Qual é a unidade básica da vida?	Átomo	Célula	Molécula	Proteína	2
Qual é o planeta mais próximo do Sol?	Terra	Marte	Vénus	Mercúrio	4
Qual é a principal fonte de energia utilizada para produção de eletricidade no mundo?	Carvão	Vento	Água	Sol	1
