Column1	Column2	Column3	Column4	Column5	Column6
Qual é o nome do famoso anfiteatro romano localizado em Roma, onde ocorriam lutas de gladiadores e eventos públicos?	Coliseu	Pantheon	Fórum Romano	Termas de Caracala	1
Quem é o arquiteto egípcio responsável pela conceção das Pirâmides de Gizé?	Imhotep	Ramsés II	Tutancámon	Cleópatra	1
Qual é o nome da cidade antiga conhecida por suas casas de pedra esculpidas na rocha na Jordânia?	Palmira	Petra	Babilónia	Tebas	2
Qual é o nome do famoso templo budista localizado no Camboja, conhecido por suas torres em forma de lótus?	Templo de Borobudur	Templo de Angkor Wat	Templo de Bodh Gaya	Templo de Mahabodhi	2
Qual é o nome da famosa estrutura neolítica na Inglaterra, composta por grandes pedras em pé?	Esfinge	Stonehenge	Ménir	Dolmen	2
Quem é o arquiteto grego responsável pelo projeto do Partenon em Atenas?	Sócrates	Aristóteles	Fídias	Platão	3
Quem é o arquiteto grego responsável pelo projeto do Templo de Artemisa em Éfeso, uma das Sete Maravilhas do Mundo Antigo?	Fídias	Heródoto	Ártemis	Calímaco	4
Qual é o nome do complexo de templos maias localizado no México, conhecido por sua pirâmide de Kukulcán?	Templo de Luxor	Templo de Karnak	Templo de Tikal	Templo de Chichén Itzá	4
Quem é o arquiteto grego responsável pelo projeto do Templo de Apolo em Delfos?	Fídias	Heródoto	Ártemis	Calímaco	1
Qual é o nome da cidade antiga mesopotâmica conhecida por suas muralhas maciças, sistema de comportas e jardins suspensos?	Ur	Assur	Babilónia	Nínive	1
Qual é o nome do famoso mosteiro português construído no estilo manuelino, situado em Belém, Lisboa?	Mosteiro de São Vicente de Fora	Mosteiro de Santa Cruz	Mosteiro dos Jerónimos	Mosteiro de Alcobaça	3
O estilo arquitetónico manuelino é conhecido por suas decorações elaboradas inspiradas em quê?	Arte abstrata	Símbolos marítimos	Arte renascentista	Arte bizantina	2
Qual é o nome do famoso aqueduto construído no século XVIII, para abastecer de água a capital portuguesa, conhecido pelos seus arcos em pedra de grande porte?	Aqueduto da Amoreira	Aqueduto das Águas Livres	Aqueduto de Segóvia	Aqueduto de Valente	2
Onde ficava a mais célebre biblioteca e um dos maiores centros de produção do conhecimento na Antiguidade que, durante o reinado de Cleópatra, se calcula reunisse cerca de 1 milhão de pergaminhos?	Roma	Constantinopla	Alexandria	Cairo	3
Que tipo de colunas da arquitetura clássica grega são caracterizadas por não possuírem base e o capitel ter formato de prato?	dóricas	cónicas	jónicas	coríntias	1
Que tipo de colunas da arquitetura clássica grega são caracterizadas por a sua base se parecer com uma pilha de anéis e o capitel se parecer com um pergaminho gigante?	dóricas	cónicas	jónicas	coríntias	3
Que tipo de colunas da arquitetura clássica grega são caracterizadas por um capitel muito elaborado com a forma básica de um sino invertido, adornado por formas vegetais (folhas e rebentos)?	dóricas	cónicas	jónicas	coríntias	4
Em que ilha do mediterrâneo existia uma estátua em pedra de grandes dimensões (de altura aproximada da Estátua da Liberdade), considerada uma das sete maravilhas do mundo antigo?	Creta	Rodes	Malta	Corfu	2
Qual é o nome do monumento megalítico em Portugal, conhecido por suas pedras em pé?	Mosteiro de Alcobaça	Templo de Diana	Cromeleque dos Almendres	Stonehenge	3
Qual é o nome do famoso convento português em Tomar, construído no estilo manuelino, que é Património Mundial da UNESCO?	Mosteiro de Santa Cruz	Mosteiro de São Vicente de Fora	Convento de Cristo	Mosteiro dos Jerónimos	3
Qual é o nome do famoso palácio renascentista italiano que abriga a Galeria Uffizi em Florença?	Palazzo Farnese	Palazzo Medici-Riccardi	Palazzo Pitti	Palazzo Vecchio	3
Quem é o arquiteto renascentista italiano conhecido por projetar a Capela Sistina no Vaticano?	Leonardo da Vinci	Rafael Sanzio	Donato Bramante	Michelangelo Buonarroti	4
Qual é o nome da famosa fonte renascentista em Roma, projetada por Nicola Salvi, que é uma das maiores atrações da cidade?	Fonte dos Quatro Rios	Fontana dell'Acqua Paola	Fontana di Trevi	Fontana Maggiore	3
Qual é o nome do estilo arquitetónico medieval conhecido pelas suas paredes espessas, arcos semicirculares e uso de arcos-baixos?	Renascimento	Barroco	Românico	Gótico	3
O estilo Rococó é conhecido por características extravagantes como formas orgânicas (conchas, folhas, etc), linhas curvas e ornamentos elaborados. Em que período histórico se desenvolveu?	Século XX	Idade Média	Século XVIII	Antiguidade Clássica	3
O estilo arquitetónico românico está frequentemente associado a quais tipos de edifícios religiosos?	Catedrais e castelos	Sinagogas e mesquitas	Teatros e anfiteatros	Bibliotecas e museus	1
Qual é o nome do estilo arquitetónico que se inspirou na arquitetura da Grécia e Roma antigas e se tornou popular durante o Renascimento?	Gótico	Barroco	Neoclássico	Rococó	3
